Y,Z
0.01016374969,0.04202034295
0.01034573742,0.04257859096
0.01054809351,0.04312978302
0.01077047752,0.04367320371
0.01101265613,0.04420809612
0.01127434301,0.04473371989
0.01155514631,0.0452493847
0.01185462519,0.04575443231
0.01217243937,0.04624814733
0.01250819599,0.04672984003
0.01286140613,0.04719888512
0.01323153803,0.04765469545
0.01361815087,0.04809661273
0.01402075488,0.04852401229
0.01443877378,0.04893634819
0.01487159667,0.04933311641
0.01531869176,0.04971372953
0.01577948236,0.05007764216
0.01625331821,0.05042439897
0.01673952166,0.05075359022
0.0172374813,0.05106471168
0.01774654629,0.05135730904
0.01826600633,0.05163102783
0.01879513172,0.05188556071
0.01933324403,0.05212049796
0.01987963275,0.05233548574
0.02043353393,0.05253030557
0.02099059704,0.05271599327
0.02154766015,0.05290168098
0.02210472326,0.05308736868
0.02266178638,0.05327305639
0.02321884949,0.05345874409
0.0237759126,0.0536444318
0.02433297571,0.0538301195
0.02489003882,0.0540158072
0.02544710194,0.05420149491
0.02600416505,0.05438718261
0.02656122816,0.05457287032
0.02711829127,0.05475855802
0.02767535439,0.05494424573
0.0282324175,0.05512993343
0.02878948061,0.05531562114
0.02934654372,0.05550130884
0.02990360684,0.05568699655
0.03046066995,0.05587268425
0.03101773306,0.05605837195
0.03157479617,0.05624405966
0.03213185929,0.05642974736
0.0326889224,0.05661543507
0.03324598551,0.05680112277
0.03380304862,0.05698681048
0.03436011173,0.05717249818
0.03491717485,0.05735818589
0.03547423796,0.05754387359
0.03603130107,0.05772956129
0.03658836418,0.057915249
0.0371454273,0.0581009367
0.03770249041,0.05828662441
0.03825955352,0.05847231211
0.03881661663,0.05865799982
0.03937367975,0.05884368752
0.03993074286,0.05902937523
0.04048837036,0.05921335175
0.04104847271,0.05938964244
0.0416111031,0.05955769026
0.04217614205,0.05971745264
0.04274346772,0.05986889442
0.04331295652,0.06001198721
0.04388448323,0.0601467102
0.04445792282,0.06027304344
0.04503315417,0.06039094991
